Средство;Широта;Долгота
09 09:31:21  ;  55.638595 ;  38.407063333  
09 09:31:26  ;  55.641135 ;  38.400786667  
09 09:31:31  ;  55.643666667 ;  38.394525  
09 09:31:36  ;  55.646203333 ;  38.388266667  
09 09:31:41  ;  55.648751667 ;  38.382021667  
09 09:31:46  ;  55.65133 ;  38.375778333  
09 09:31:51  ;  55.65393 ;  38.369531667  
09 09:31:56  ;  55.656545 ;  38.363278333  
09 09:32:01  ;  55.659165 ;  38.357003333  
09 09:32:06  ;  55.661781667 ;  38.350696667  
09 09:32:11  ;  55.664395 ;  38.344353333  
09 09:32:16  ;  55.667001667 ;  38.337993333  
09 09:32:21  ;  55.669596667 ;  38.331623333  
09 09:32:26  ;  55.672181667 ;  38.325245  
09 09:32:31  ;  55.674761667 ;  38.318876667  
09 09:32:36  ;  55.677343333 ;  38.312538333  
09 09:32:41  ;  55.679921667 ;  38.306233333  
09 09:32:46  ;  55.682496667 ;  38.299958333  
09 09:32:51  ;  55.685096667 ;  38.293668333  
09 09:32:56  ;  55.687745 ;  38.287283333  
09 09:33:01  ;  55.690443333 ;  38.280768333  
09 09:33:06  ;  55.6932 ;  38.274111667  
09 09:33:11  ;  55.696003333 ;  38.267316667  
09 09:33:16  ;  55.698818333 ;  38.260438333  
09 09:33:21  ;  55.701628333 ;  38.253586667  
09 09:33:26  ;  55.704423333 ;  38.246761667  
09 09:33:31  ;  55.707193333 ;  38.23996  
09 09:33:36  ;  55.70994 ;  38.233193333  
09 09:33:41  ;  55.71266 ;  38.226446667  
09 09:33:46  ;  55.71537 ;  38.21972  
09 09:33:51  ;  55.718083333 ;  38.21298  
09 09:33:56  ;  55.720833333 ;  38.206245  
09 09:34:01  ;  55.723605 ;  38.199531667  
09 09:34:06  ;  55.726355 ;  38.192795  
09 09:34:11  ;  55.729091667 ;  38.186071667  
09 09:34:16  ;  55.73182 ;  38.179366667  
09 09:34:21  ;  55.734535 ;  38.172688333  
09 09:34:26  ;  55.73724 ;  38.166031667  
09 09:34:31  ;  55.739943333 ;  38.159383333  
09 09:34:36  ;  55.74264 ;  38.152736667  
09 09:34:41  ;  55.74533 ;  38.146081667  
09 09:34:46  ;  55.748011667 ;  38.139421667  
09 09:34:51  ;  55.750683333 ;  38.132761667  
09 09:34:56  ;  55.753345 ;  38.126115  
09 09:35:01  ;  55.756005 ;  38.11949  
09 09:35:06  ;  55.758666667 ;  38.112885  
09 09:35:11  ;  55.76133 ;  38.106305  
09 09:35:16  ;  55.763986667 ;  38.09974  
09 09:35:21  ;  55.766628333 ;  38.093175  
09 09:35:26  ;  55.769261667 ;  38.086611667  
09 09:35:31  ;  55.771896667 ;  38.08005  
09 09:35:36  ;  55.77453 ;  38.0735  
09 09:35:41  ;  55.777166667 ;  38.066966667  
09 09:35:46  ;  55.77981 ;  38.060453333  
09 09:35:51  ;  55.782443333 ;  38.053943333  
09 09:35:56  ;  55.785063333 ;  38.04744  
09 09:36:01  ;  55.787675 ;  38.040943333  
09 09:36:06  ;  55.790285 ;  38.034458333  
09 09:36:11  ;  55.792891667 ;  38.027986667  
09 09:36:16  ;  55.795488333 ;  38.021525  
09 09:36:21  ;  55.798073333 ;  38.015071667  
09 09:36:26  ;  55.800646667 ;  38.00862  
09 09:36:31  ;  55.80322 ;  38.00217  
09 09:36:36  ;  55.805791667 ;  37.995721667  
09 09:36:41  ;  55.808358333 ;  37.989266667  
09 09:36:46  ;  55.810923333 ;  37.9828  
09 09:36:51  ;  55.81349 ;  37.976351667  
09 09:36:56  ;  55.816043333 ;  37.969913333  
09 09:37:01  ;  55.818608333 ;  37.963491667  
09 09:37:06  ;  55.821178333 ;  37.957093333  
09 09:37:11  ;  55.823768333 ;  37.950741667  
09 09:37:16  ;  55.826458333 ;  37.944545  
09 09:37:21  ;  55.829245 ;  37.938518333  
09 09:37:26  ;  55.832035 ;  37.932536667  
09 09:37:31  ;  55.83481 ;  37.926543333  
09 09:37:36  ;  55.83757 ;  37.920528333  
09 09:37:41  ;  55.840331667 ;  37.914491667  
09 09:37:46  ;  55.843083333 ;  37.908435  
09 09:37:51  ;  55.845828333 ;  37.902371667  
09 09:37:56  ;  55.848568333 ;  37.896305  
09 09:38:01  ;  55.851306667 ;  37.890251667  
09 09:38:06  ;  55.854041667 ;  37.884215  
09 09:38:11  ;  55.85677 ;  37.878196667  
09 09:38:16  ;  55.85949 ;  37.872165  
09 09:38:21  ;  55.862203333 ;  37.866113333  
09 09:38:26  ;  55.864915 ;  37.86005  
09 09:38:31  ;  55.867631667 ;  37.854  
09 09:38:36  ;  55.870348333 ;  37.847958333  
09 09:38:41  ;  55.873065 ;  37.84192  
09 09:38:46  ;  55.875778333 ;  37.835895  
09 09:38:51  ;  55.87849 ;  37.829878333  
09 09:38:56  ;  55.88119 ;  37.823876667  
09 09:39:01  ;  55.883855 ;  37.817931667  
09 09:39:06  ;  55.886483333 ;  37.812041667  
09 09:39:11  ;  55.889075 ;  37.806215  
